ts,who,where_maybe,note
2026-09-11T16:10:00Z,unknown,,YESTERDAY? Foxtrot ridge hub recvd 200 lb (smudged date 11/12). do not know if this is today
2026-09-12T06:15:00Z,LT Hana Okonkwo,,Hotel-Actual this is Wagon-6. sending 125 lb from Uniform FOB depot to Hotel transfer yard. count it on arrival. over
2026-09-12T06:15:47Z,SGT Farah Hale,,got 55 pounds off Uniform FOB depot here at Foxtrot ridge hub. logged. hale
2026-09-12T06:16:34Z,SPC Amelia Singh,,got 290 pounds off Iron port dump here at Tango transfer yard. logged. singh
2026-09-12T06:17:21Z,PFC Diego Kowalski,,Tango-Actual this is Dustoff-I. sending 290 lb from Iron port dump to Tango transfer yard. count it on arrival. over
2026-09-12T06:18:08Z,SSG Aisha Bennett,,got 275 pounds off Uniform FOB depot here at Oscar junction. logged. bennett
2026-09-12T06:18:55Z,PVT Chris Khan,,got 125 pounds off Uniform FOB depot here at Hotel transfer yard. logged. khan
2026-09-12T06:19:42Z,LT Hana Okonkwo,,Foxtrot-Actual this is Wagon-6. sending 55 lb from Uniform FOB depot to Foxtrot ridge hub. count it on arrival. over
2026-09-12T06:20:29Z,LT Hana Okonkwo,,Oscar-Actual this is Wagon-6. sending 275 lb from Uniform FOB depot to Oscar junction. count it on arrival. over
2026-09-12T06:35:00Z,LT Hana Okonkwo,,Anchor-M9 this is Wagon-6. sending 85 lb from Uniform FOB depot to Mike quarry. count it on arrival. over
2026-09-12T06:35:47Z,LT Hana Okonkwo,,Anchor-G8 this is Wagon-6. sending 20 lb from Uniform FOB depot to Golf bridge. count it on arrival. over
2026-09-12T06:36:34Z,LT Farah Berg,,got 35 pounds off Iron port dump here at Cedar checkpoint. logged. berg
2026-09-12T06:37:21Z,SSG Hana Singh,,got 20 pounds off Uniform FOB depot here at Golf bridge. logged. singh
2026-09-12T06:38:08Z,SFC Hana Hassan,,got 45 pounds off Uniform FOB depot here at Mike quarry. logged. hassan
2026-09-12T06:38:55Z,PFC Diego Kowalski,,Anchor-C9 this is Dustoff-I. sending 35 lb from Iron port dump to Cedar checkpoint. count it on arrival. over
2026-09-12T06:39:42Z,LT Hana Okonkwo,,Anchor-E4 this is Wagon-6. sending 35 lb from Uniform FOB depot to Echo warehouse. count it on arrival. over
2026-09-12T06:40:29Z,SSG Keiko Berg,,got 15 pounds off Uniform FOB depot here at Echo warehouse. logged. berg
2026-09-12T07:40:00Z,PFC Diego Kowalski,,Watchtower; second drop; another 325 pounds from Iron port dump. Double it on the board. Over.
2026-09-12T09:00:00Z,SSG Aisha Bennett,,Anchor-N9 this is Oscar-Actual. sending 80 lb from Oscar junction to November well. count it on arrival. over
2026-09-12T09:00:47Z,CPL Keiko Kowalski,,got 105 pounds off Oscar junction here at Sierra warehouse. logged. kowalski
2026-09-12T09:01:34Z,PVT Tom Diaz,,got 80 pounds off Oscar junction here at November well. logged. diaz
2026-09-12T09:02:21Z,SSG Aisha Bennett,,Anchor-S5 this is Oscar-Actual. sending 105 lb from Oscar junction to Sierra warehouse. count it on arrival. over
2026-09-12T09:03:08Z,SGT Farah Hale,,Anchor-Q2 this is Foxtrot-Actual. sending 30 lb from Foxtrot ridge hub to Quebec crossroads. count it on arrival. over
2026-09-12T09:03:55Z,SGT Farah Hale,,Anchor-K1 this is Foxtrot-Actual. sending 10 lb from Foxtrot ridge hub to Kilo farm. count it on arrival. over
2026-09-12T09:04:42Z,PFC Nina Petrov,,got 30 pounds off Foxtrot ridge hub here at Quebec crossroads. logged. petrov
2026-09-12T09:05:29Z,SFC Sofia Abebe,,got 25 pounds off Foxtrot ridge hub here at Kilo farm. logged. abebe
2026-09-12T09:20:00Z,SFC Sofia Abebe,,got 75 pounds off Oscar junction here at Kilo farm. logged. abebe
2026-09-12T09:20:47Z,SSG Aisha Bennett,,Anchor-I9 this is Oscar-Actual. sending 10 lb from Oscar junction to India checkpoint. count it on arrival. over
2026-09-12T09:21:34Z,SSG Aisha Bennett,,Anchor-X9 this is Oscar-Actual. sending 5 lb from Oscar junction to Xray warehouse. count it on arrival. over
2026-09-12T09:22:21Z,CPT Malik Nguyen,,got 5 pounds off Oscar junction here at Xray warehouse. logged. nguyen
2026-09-12T09:23:08Z,PVT Chris Khan,,Anchor-Y8 this is Hotel-Actual. sending 25 lb from Hotel transfer yard to Yankee bridge. count it on arrival. over
2026-09-12T09:23:55Z,SFC Malik Rahman,,got 25 pounds off Hotel transfer yard here at Yankee bridge. logged. rahman
2026-09-12T09:24:42Z,SSG Aisha Bennett,,Anchor-K1 this is Oscar-Actual. sending 75 lb from Oscar junction to Kilo farm. count it on arrival. over
2026-09-12T09:25:29Z,CPT Amelia Vasquez,,got 10 pounds off Oscar junction here at India checkpoint. logged. vasquez
2026-09-12T09:40:00Z,PVT Chris Khan,,Anchor-I9 this is Hotel-Actual. sending 5 lb from Hotel transfer yard to India checkpoint. count it on arrival. over
2026-09-12T09:40:47Z,CPT Amelia Vasquez,,got 5 pounds off Hotel transfer yard here at India checkpoint. logged. vasquez
2026-09-12T09:41:34Z,PVT Chris Khan,,Anchor-X9 this is Hotel-Actual. sending 95 lb from Hotel transfer yard to Xray warehouse. count it on arrival. over
2026-09-12T09:42:21Z,SPC Amelia Singh,,Anchor-X9 this is Tango-Actual. sending 130 lb from Tango transfer yard to Xray warehouse. count it on arrival. over
2026-09-12T09:43:08Z,CPT Malik Nguyen,,got 95 pounds off Hotel transfer yard here at Xray warehouse. logged. nguyen
2026-09-12T09:43:55Z,SPC Amelia Singh,,Anchor-I9 this is Tango-Actual. sending 150 lb from Tango transfer yard to India checkpoint. count it on arrival. over
2026-09-12T09:44:42Z,CPT Amelia Vasquez,,got 160 pounds off Tango transfer yard here at India checkpoint. logged. vasquez
2026-09-12T09:45:29Z,CPT Malik Nguyen,,got 130 pounds off Tango transfer yard here at Xray warehouse. logged. nguyen
2026-09-12T12:40:00Z,LT Farah Berg,,roof still leaking at Cedar checkpoint but the load is dry. no new numbers.
2026-09-12T12:40:47Z,SSG Keiko Nair,,uh ignore; stepped on the net. dusty at Cedar checkpoint. no extra pallets; just looking for the toyota.
2026-09-12T13:00:00Z,LT Farah Berg,,got 20 pounds off India checkpoint here at Cedar checkpoint. logged. berg
2026-09-12T13:00:47Z,PFC Nina Petrov,,Anchor-K1 this is Anchor-Q2. sending 25 lb from Quebec crossroads to Kilo farm. count it on arrival. over
2026-09-12T13:01:34Z,CPT Amelia Vasquez,,Anchor-C9 this is Anchor-I9. sending 30 lb from India checkpoint to Cedar checkpoint. count it on arrival. over
2026-09-12T13:02:21Z,CPT Malik Nguyen,,Anchor-N9 this is Anchor-X9. sending 15 lb from Xray warehouse to November well. count it on arrival. over
2026-09-12T13:03:08Z,SFC Sofia Abebe,,got 25 pounds off Quebec crossroads here at Kilo farm. logged. abebe
2026-09-12T13:03:55Z,PVT Tom Diaz,,got 25 pounds off Xray warehouse here at November well. logged. diaz
2026-09-12T14:31:00Z,SFC Sofia Abebe,,correction that last runner was 20 kg not lb wait no 20 kg
2026-09-12T14:44:00Z,SFC Sofia Abebe,,also sent 20 lbs over to Foxtrot ridge hub; same runner loop. log it.
2026-09-12T16:00:00Z,SSG Hana Singh,,EOD Golf bridge: in 20 lb; out 0 lb; on-hand 20 lb. Anchor-G8 closing books.
2026-09-12T16:00:47Z,SGT Farah Hale,,EOD Foxtrot ridge hub: in 55 lb; out 55 lb; on-hand 0 lb. Foxtrot-Actual closing books.
2026-09-12T16:01:34Z,SPC Amelia Singh,,EOD Tango transfer yard: in 290 lb; out 290 lb; on-hand 0 lb. Tango-Actual closing books.
2026-09-12T16:02:21Z,SSG Keiko Berg,,EOD Echo warehouse: in 15 lb; out 0 lb; on-hand 15 lb. Anchor-E4 closing books.
2026-09-12T16:03:08Z,PVT Chris Khan,,EOD Hotel transfer yard: in 125 lb; out 125 lb; on-hand 0 lb. Hotel-Actual closing books.
2026-09-12T16:03:55Z,SSG Aisha Bennett,,EOD Oscar junction: in 275 lb; out 275 lb; on-hand 0 lb. Oscar-Actual closing books.
2026-09-12T16:15:00Z,SFC Sofia Abebe,,EOD Kilo farm: in 125 lb; out 0 lb; on-hand 125 lb. Anchor-K1 closing books.
2026-09-12T16:15:47Z,PVT Tom Diaz,,EOD November well: in 105 lb; out 0 lb; on-hand 105 lb. Anchor-N9 closing books.
2026-09-12T16:16:34Z,SFC Hana Hassan,,EOD Mike quarry: in 45 lb; out 0 lb; on-hand 45 lb. Anchor-M9 closing books.
2026-09-12T16:17:21Z,PFC Nina Petrov,,EOD Quebec crossroads: in 30 lb; out 25 lb; on-hand 5 lb. Anchor-Q2 closing books.
2026-09-12T16:18:08Z,CPT Malik Nguyen,,EOD Xray warehouse: in 230 lb; out 25 lb; on-hand 205 lb. Anchor-X9 closing books.
2026-09-12T16:18:55Z,LT Farah Berg,,EOD Cedar checkpoint: in 65 lb; out 0 lb; on-hand 65 lb. Anchor-C9 closing books.
2026-09-12T16:30:00Z,CPL Keiko Kowalski,,EOD Sierra warehouse: in 105 lb; out 0 lb; on-hand 105 lb. Anchor-S5 closing books.
2026-09-12T16:30:47Z,SFC Malik Rahman,,EOD Yankee bridge: in 25 lb; out 0 lb; on-hand 25 lb. Anchor-Y8 closing books.
