ts,who,where_maybe,note
2026-09-11T16:10:00Z,unknown,,YESTERDAY? Sandpit railhead recvd 200 lb (smudged date 11/12). do not know if this is today
2026-09-12T06:15:00Z,SGT Sam Abebe,,Tango-Actual this is Dustoff-Q. sending 10 lb from Quarry airdrop LZ to Tango ridge hub. count it on arrival. over
2026-09-12T06:15:47Z,SPC Sam Hale,,got 10 pounds off Quarry airdrop LZ here at Tango ridge hub. logged. hale
2026-09-12T06:16:34Z,SGT Omar Vasquez,,got 95 pounds off Sandpit railhead here at Juliet ridge hub. logged. vasquez
2026-09-12T06:17:21Z,CPL Elena Kowalski,,got 195 pounds off Quarry airdrop LZ here at Golf forward cache. logged. kowalski
2026-09-12T06:18:08Z,SGT Sam Abebe,,Juliet-Actual this is Dustoff-Q. sending 5 lb from Quarry airdrop LZ to Juliet ridge hub. count it on arrival. over
2026-09-12T06:18:55Z,SGT Sam Abebe,,Golf-Actual this is Dustoff-Q. sending 195 lb from Quarry airdrop LZ to Golf forward cache. count it on arrival. over
2026-09-12T06:19:42Z,CPL Farah Chen,,Juliet-Actual this is Dustoff-S. sending 110 lb from Sandpit railhead to Juliet ridge hub. count it on arrival. over
2026-09-12T06:20:29Z,SGT Omar Vasquez,,got 5 pounds off Quarry airdrop LZ here at Juliet ridge hub. logged. vasquez
2026-09-12T06:35:00Z,SGT Chris Singh,,got 20 pounds off Sandpit railhead here at Foxtrot helipad. logged. singh
2026-09-12T06:35:47Z,CPL Farah Chen,,Anchor-F8 this is Dustoff-S. sending 20 lb from Sandpit railhead to Foxtrot helipad. count it on arrival. over
2026-09-12T06:36:34Z,SGT Sam Abebe,,Anchor-A7 this is Dustoff-Q. sending 10 lb from Quarry airdrop LZ to Alpha water point. count it on arrival. over
2026-09-12T06:37:21Z,CPL Farah Chen,,Anchor-M6 this is Dustoff-S. sending 20 lb from Sandpit railhead to Maple mill. count it on arrival. over
2026-09-12T06:38:08Z,LT Elena Rahman,,got 50 pounds off Sandpit railhead here at Charlie forward cache. logged. rahman
2026-09-12T06:38:55Z,PVT Aisha Nair,,got 20 pounds off Sandpit railhead here at Maple mill. logged. nair
2026-09-12T06:39:42Z,SSG Greta Hassan,,got 20 pounds off Quarry airdrop LZ here at Alpha water point. logged. hassan
2026-09-12T06:40:29Z,CPL Farah Chen,,Charlie-Actual this is Dustoff-S. sending 50 lb from Sandpit railhead to Charlie forward cache. count it on arrival. over
2026-09-12T06:55:00Z,SGT Sam Abebe,,Anchor-K2 this is Dustoff-Q. sending 30 lb from Quarry airdrop LZ to Kilo schoolhouse. count it on arrival. over
2026-09-12T06:55:47Z,PVT Leo Chen,,got 40 pounds off Quarry airdrop LZ here at Victor farm. logged. chen
2026-09-12T06:56:34Z,CPL Farah Chen,,Anchor-S9 this is Dustoff-S. sending 65 lb from Sandpit railhead to Sierra water point. count it on arrival. over
2026-09-12T06:57:21Z,CPT James MacLeod,,got 40 pounds off Sandpit railhead here at Papa crossroads. logged. macleod
2026-09-12T06:58:08Z,CPT James Okafor,,got 25 pounds off Sandpit railhead here at Sierra water point. logged. okafor
2026-09-12T06:58:55Z,PFC Malik Alvarez,,got 30 pounds off Quarry airdrop LZ here at Kilo schoolhouse. logged. alvarez
2026-09-12T06:59:42Z,SGT Sam Abebe,,Anchor-V8 this is Dustoff-Q. sending 40 lb from Quarry airdrop LZ to Victor farm. count it on arrival. over
2026-09-12T07:00:29Z,CPL Farah Chen,,Anchor-P7 this is Dustoff-S. sending 40 lb from Sandpit railhead to Papa crossroads. count it on arrival. over
2026-09-12T07:15:00Z,LT Diego Hassan,,got 60 pounds off Sandpit railhead here at Echo well. logged. hassan
2026-09-12T07:15:47Z,CPL Farah Chen,,Anchor-E1 this is Dustoff-S. sending 45 lb from Sandpit railhead to Echo well. count it on arrival. over
2026-09-12T07:16:34Z,SFC Sofia Petrov,,got 25 pounds off Quarry airdrop LZ here at Mike mosque courtyard. logged. petrov
2026-09-12T07:17:21Z,SGT Sam Abebe,,Anchor-M8 this is Dustoff-Q. sending 25 lb from Quarry airdrop LZ to Mike mosque courtyard. count it on arrival. over
2026-09-12T07:40:00Z,CPL Farah Chen,,Watchtower; second drop; another 310 pounds from Sandpit railhead. Double it on the board. Over.
2026-09-12T09:00:00Z,SPC James Singh,,got 5 pounds off Charlie forward cache here at Copper mosque courtyard. logged. singh
2026-09-12T09:00:47Z,CPL Elena Kowalski,,Anchor-B9 this is Golf-Actual. sending 155 lb from Golf forward cache to Bravo water point. count it on arrival. over
2026-09-12T09:01:34Z,SGT Nina Nguyen,,got 40 pounds off Golf forward cache here at Lima farm. logged. nguyen
2026-09-12T09:02:21Z,LT Elena Rahman,,Anchor-C4 this is Charlie-Actual. sending 5 lb from Charlie forward cache to Copper mosque courtyard. count it on arrival. over
2026-09-12T09:03:08Z,LT Elena Rahman,,Anchor-R6 this is Charlie-Actual. sending 15 lb from Charlie forward cache to Romeo water point. count it on arrival. over
2026-09-12T09:03:55Z,CPT Riley Petrov,,got 15 pounds off Charlie forward cache here at Romeo water point. logged. petrov
2026-09-12T09:04:42Z,CPL Elena Kowalski,,Anchor-L9 this is Golf-Actual. sending 40 lb from Golf forward cache to Lima farm. count it on arrival. over
2026-09-12T09:05:29Z,PFC Noah Nair,,got 155 pounds off Golf forward cache here at Bravo water point. logged. nair
2026-09-12T09:20:00Z,CPT Riley Petrov,,got 25 pounds off Juliet ridge hub here at Romeo water point. logged. petrov
2026-09-12T09:20:47Z,SGT Omar Vasquez,,Anchor-R6 this is Juliet-Actual. sending 25 lb from Juliet ridge hub to Romeo water point. count it on arrival. over
2026-09-12T09:21:34Z,LT Elena Rahman,,Anchor-H5 this is Charlie-Actual. sending 10 lb from Charlie forward cache to Hotel farm. count it on arrival. over
2026-09-12T09:22:21Z,SGT Omar Vasquez,,Anchor-W3 this is Juliet-Actual. sending 10 lb from Juliet ridge hub to Willow helipad. count it on arrival. over
2026-09-12T09:23:08Z,LT Diego Vasquez,,got 10 pounds off Charlie forward cache here at Hotel farm. logged. vasquez
2026-09-12T09:23:55Z,SGT Omar Vasquez,,Anchor-L9 this is Juliet-Actual. sending 5 lb from Juliet ridge hub to Lima farm. count it on arrival. over
2026-09-12T09:24:42Z,SGT Nina Nguyen,,got 5 pounds off Juliet ridge hub here at Lima farm. logged. nguyen
2026-09-12T09:25:29Z,CPL James Okonkwo,,got 10 pounds off Juliet ridge hub here at Willow helipad. logged. okonkwo
2026-09-12T09:40:00Z,SPC Sam Hale,,Anchor-C2 this is Tango-Actual. sending 5 lb from Tango ridge hub to Cedar crossroads. count it on arrival. over
2026-09-12T09:40:47Z,SGT Omar Vasquez,,Anchor-H7 this is Juliet-Actual. sending 50 lb from Juliet ridge hub to Harbor quarry. count it on arrival. over
2026-09-12T09:41:34Z,SPC Sam Hale,,Anchor-W7 this is Tango-Actual. sending 5 lb from Tango ridge hub to Whiskey bridge. count it on arrival. over
2026-09-12T09:42:21Z,LT Sofia Hale,,got 50 pounds off Juliet ridge hub here at Harbor quarry. logged. hale
2026-09-12T09:43:08Z,LT Nina Berg,,got 65 pounds off Juliet ridge hub here at November mosque courtyard. logged. berg
2026-09-12T09:43:55Z,SGT Keiko Alvarez,,got 5 pounds off Tango ridge hub here at Whiskey bridge. logged. alvarez
2026-09-12T09:44:42Z,SGT Omar Vasquez,,Anchor-N2 this is Juliet-Actual. sending 25 lb from Juliet ridge hub to November mosque courtyard. count it on arrival. over
2026-09-12T09:45:29Z,CPT Priya Khan,,got 5 pounds off Tango ridge hub here at Cedar crossroads. logged. khan
2026-09-12T12:40:00Z,CPL Farah Chen,,roof still leaking at Sandpit railhead but the load is dry. no new numbers.
2026-09-12T12:40:47Z,PVT James Nguyen,,uh ignore; stepped on the net. dusty at Sandpit railhead. no extra pallets; just looking for the toyota.
2026-09-12T13:00:00Z,SPC James Singh,,got 40 pounds off Bravo water point here at Copper mosque courtyard. logged. singh
2026-09-12T13:00:47Z,SFC Sofia Petrov,,got 5 pounds off November mosque courtyard here at Mike mosque courtyard. logged. petrov
2026-09-12T13:01:34Z,LT Nina Berg,,Anchor-M8 this is Anchor-N2. sending 5 lb from November mosque courtyard to Mike mosque courtyard. count it on arrival. over
2026-09-12T13:02:21Z,LT Nina Berg,,Anchor-E1 this is Anchor-N2. sending 5 lb from November mosque courtyard to Echo well. count it on arrival. over
2026-09-12T13:03:08Z,LT Diego Hassan,,got 5 pounds off November mosque courtyard here at Echo well. logged. hassan
2026-09-12T13:03:55Z,PFC Noah Nair,,Anchor-E1 this is Anchor-B9. sending 15 lb from Bravo water point to Echo well. count it on arrival. over
2026-09-12T13:04:42Z,PFC Noah Nair,,Anchor-C4 this is Anchor-B9. sending 40 lb from Bravo water point to Copper mosque courtyard. count it on arrival. over
2026-09-12T13:05:29Z,LT Diego Hassan,,got 15 pounds off Bravo water point here at Echo well. logged. hassan
2026-09-12T13:20:00Z,SSG Greta Hassan,,got 5 pounds off Victor farm here at Alpha water point. logged. hassan
2026-09-12T13:20:47Z,LT Diego Vasquez,,got 30 pounds off Lima farm here at Hotel farm. logged. vasquez
2026-09-12T13:21:34Z,PFC Malik Alvarez,,got 10 pounds off Lima farm here at Kilo schoolhouse. logged. alvarez
2026-09-12T13:22:21Z,PVT Leo Chen,,Anchor-A7 this is Anchor-V8. sending 5 lb from Victor farm to Alpha water point. count it on arrival. over
2026-09-12T13:23:08Z,SGT Nina Nguyen,,Anchor-K2 this is Anchor-L9. sending 10 lb from Lima farm to Kilo schoolhouse. count it on arrival. over
2026-09-12T13:23:55Z,SGT Nina Nguyen,,Anchor-H5 this is Anchor-L9. sending 30 lb from Lima farm to Hotel farm. count it on arrival. over
2026-09-12T13:24:42Z,PFC Malik Alvarez,,got 30 pounds off Harbor quarry here at Kilo schoolhouse. logged. alvarez
2026-09-12T13:25:29Z,LT Sofia Hale,,Anchor-K2 this is Anchor-H7. sending 30 lb from Harbor quarry to Kilo schoolhouse. count it on arrival. over
2026-09-12T13:40:00Z,SFC Sofia Petrov,,Anchor-W3 this is Anchor-M8. sending 20 lb from Mike mosque courtyard to Willow helipad. count it on arrival. over
2026-09-12T13:40:47Z,CPT James MacLeod,,got 5 pounds off Sierra water point here at Papa crossroads. logged. macleod
