ts,who,where_maybe,note
2026-09-11T16:10:00Z,unknown,,YESTERDAY? Cedar orchard recvd 200 lb (smudged date 11/12). do not know if this is today
2026-09-12T06:15:00Z,LT Ibrahim Okonkwo,,Tango-Actual this is Dustoff-B. sending 55 lb from Bravo airdrop LZ to Tango ridge hub. count it on arrival. over
2026-09-12T06:15:47Z,LT June Singh,,got 55 pounds off Bravo airdrop LZ here at Tango ridge hub. logged. singh
2026-09-12T06:16:34Z,LT Ibrahim Okonkwo,,Xray-Actual this is Dustoff-B. sending 35 lb from Bravo airdrop LZ to Xray junction. count it on arrival. over
2026-09-12T06:17:21Z,LT Ibrahim Okonkwo,,Sandpit-Actual this is Dustoff-B. sending 60 lb from Bravo airdrop LZ to Sandpit forward cache. count it on arrival. over
2026-09-12T06:18:08Z,SGT Omar Volkov,,got 35 pounds off Bravo airdrop LZ here at Xray junction. logged. volkov
2026-09-12T06:18:55Z,LT Tom MacLeod,,India-Actual this is Dustoff-N. sending 400 lb from November airdrop LZ to India forward cache. count it on arrival. over
2026-09-12T06:19:42Z,PVT Victor Ortiz,,got 60 pounds off Bravo airdrop LZ here at Sandpit forward cache. logged. ortiz
2026-09-12T06:20:29Z,SSG Leo Ruiz,,got 400 pounds off November airdrop LZ here at India forward cache. logged. ruiz
2026-09-12T06:35:00Z,CPL Diego Okonkwo,,got 40 pounds off Bravo airdrop LZ here at Lima ridge hub. logged. okonkwo
2026-09-12T06:35:47Z,LT Ibrahim Okonkwo,,Lima-Actual this is Dustoff-B. sending 50 lb from Bravo airdrop LZ to Lima ridge hub. count it on arrival. over
2026-09-12T07:40:00Z,LT Tom MacLeod,,Watchtower; second drop; another 400 pounds from November airdrop LZ. Double it on the board. Over.
2026-09-12T09:00:00Z,PVT Priya Nguyen,,got 20 pounds off Lima ridge hub here at Delta water point. logged. nguyen
2026-09-12T09:00:47Z,CPL Diego Okonkwo,,Anchor-C6 this is Lima-Actual. sending 25 lb from Lima ridge hub to Cedar orchard. count it on arrival. over
2026-09-12T09:01:34Z,CPL Diego Okonkwo,,Anchor-W1 this is Lima-Actual. sending 5 lb from Lima ridge hub to Willow bridge. count it on arrival. over
2026-09-12T09:02:21Z,PFC Tom Singh,,got 15 pounds off Lima ridge hub here at Juliet warehouse. logged. singh
2026-09-12T09:03:08Z,CPL Amelia Berg,,got 10 pounds off Lima ridge hub here at Cedar orchard. logged. berg
2026-09-12T09:03:55Z,PVT Priya Hassan,,got 5 pounds off Lima ridge hub here at Willow bridge. logged. hassan
2026-09-12T09:04:42Z,CPL Diego Okonkwo,,Anchor-D3 this is Lima-Actual. sending 20 lb from Lima ridge hub to Delta water point. count it on arrival. over
2026-09-12T09:05:29Z,CPL Diego Okonkwo,,Anchor-J3 this is Lima-Actual. sending 15 lb from Lima ridge hub to Juliet warehouse. count it on arrival. over
2026-09-12T09:20:00Z,PVT Victor Ortiz,,Anchor-C6 this is Sandpit-Actual. sending 5 lb from Sandpit forward cache to Charlie checkpoint. count it on arrival. over
2026-09-12T09:20:47Z,LT June Singh,,Anchor-G5 this is Tango-Actual. sending 85 lb from Tango ridge hub to Golf well. count it on arrival. over
2026-09-12T09:21:34Z,CPT Maya Bennett,,got 5 pounds off Tango ridge hub here at Charlie checkpoint. logged. bennett
2026-09-12T09:22:21Z,SGT Sam Alvarez,,got 45 pounds off Tango ridge hub here at Golf well. logged. alvarez
2026-09-12T09:23:08Z,CPT Maya Bennett,,got 5 pounds off Sandpit forward cache here at Charlie checkpoint. logged. bennett
2026-09-12T09:23:55Z,LT June Singh,,Anchor-C6 this is Tango-Actual. sending 5 lb from Tango ridge hub to Charlie checkpoint. count it on arrival. over
2026-09-12T09:24:42Z,CPL Noah Khan,,got 5 pounds off Tango ridge hub here at Granite market. logged. khan
2026-09-12T09:25:29Z,LT June Singh,,Anchor-G9 this is Tango-Actual. sending 5 lb from Tango ridge hub to Granite market. count it on arrival. over
2026-09-12T09:40:00Z,PVT Priya Nguyen,,got 5 pounds off Sandpit forward cache here at Delta water point. logged. nguyen
2026-09-12T09:40:47Z,PVT Victor Ortiz,,Zulu-Actual this is Sandpit-Actual. sending 20 lb from Sandpit forward cache to Zulu junction. count it on arrival. over
2026-09-12T09:41:34Z,LT Tom Bennett,,got 20 pounds off Sandpit forward cache here at Zulu junction. logged. bennett
2026-09-12T09:42:21Z,PVT Priya Hassan,,got 25 pounds off Sandpit forward cache here at Willow bridge. logged. hassan
2026-09-12T09:43:08Z,PVT Victor Ortiz,,Anchor-D3 this is Sandpit-Actual. sending 5 lb from Sandpit forward cache to Delta water point. count it on arrival. over
2026-09-12T09:43:55Z,PVT Victor Ortiz,,Anchor-W1 this is Sandpit-Actual. sending 25 lb from Sandpit forward cache to Willow bridge. count it on arrival. over
2026-09-12T09:44:42Z,CPL Noah Khan,,got 5 pounds off Sandpit forward cache here at Granite market. logged. khan
2026-09-12T09:45:29Z,PVT Victor Ortiz,,Anchor-G9 this is Sandpit-Actual. sending 5 lb from Sandpit forward cache to Granite market. count it on arrival. over
2026-09-12T10:00:00Z,LT Tom Bennett,,Anchor-D3 this is Zulu-Actual. sending 10 lb from Zulu junction to Delta water point. count it on arrival. over
2026-09-12T10:00:47Z,PVT Priya Hassan,,got 240 pounds off India forward cache here at Willow bridge. logged. hassan
2026-09-12T10:01:34Z,PVT Priya Nguyen,,got 10 pounds off Zulu junction here at Delta water point. logged. nguyen
2026-09-12T10:02:21Z,LT Tom Bennett,,Anchor-A4 this is Zulu-Actual. sending 5 lb from Zulu junction to Alpha mosque courtyard. count it on arrival. over
2026-09-12T10:03:08Z,SSG Leo Ruiz,,Anchor-W1 this is India-Actual. sending 255 lb from India forward cache to Willow bridge. count it on arrival. over
2026-09-12T10:03:55Z,SSG Leo Ruiz,,got 5 pounds off Zulu junction here at India forward cache. logged. ruiz
2026-09-12T10:04:42Z,PFC Elena Berg,,got 5 pounds off Zulu junction here at Alpha mosque courtyard. logged. berg
2026-09-12T10:05:29Z,LT Tom Bennett,,India-Actual this is Zulu-Actual. sending 5 lb from Zulu junction to India forward cache. count it on arrival. over
2026-09-12T10:20:00Z,PFC Elena Berg,,got 15 pounds off Xray junction here at Alpha mosque courtyard. logged. berg
2026-09-12T10:20:47Z,SGT Omar Volkov,,Anchor-A4 this is Xray-Actual. sending 15 lb from Xray junction to Alpha mosque courtyard. count it on arrival. over
2026-09-12T10:21:34Z,SGT Omar Volkov,,Anchor-G5 this is Xray-Actual. sending 5 lb from Xray junction to Golf well. count it on arrival. over
2026-09-12T10:22:21Z,SSG Leo Ruiz,,Anchor-A4 this is India-Actual. sending 75 lb from India forward cache to Alpha mosque courtyard. count it on arrival. over
2026-09-12T10:23:08Z,SGT Sam Alvarez,,got 5 pounds off Xray junction here at Golf well. logged. alvarez
2026-09-12T10:23:55Z,PFC Elena Berg,,got 60 pounds off India forward cache here at Alpha mosque courtyard. logged. berg
2026-09-12T10:24:42Z,SGT Sam Alvarez,,got 95 pounds off India forward cache here at Golf well. logged. alvarez
2026-09-12T10:25:29Z,SSG Leo Ruiz,,Anchor-G5 this is India-Actual. sending 70 lb from India forward cache to Golf well. count it on arrival. over
2026-09-12T10:40:00Z,SGT Omar Volkov,,Anchor-C6 this is Xray-Actual. sending 15 lb from Xray junction to Cedar orchard. count it on arrival. over
2026-09-12T10:40:47Z,CPL Amelia Berg,,got 15 pounds off Xray junction here at Cedar orchard. logged. berg
2026-09-12T12:40:00Z,CPT Riley Okafor,,uh ignore; stepped on the net. dusty at Granite market. no extra pallets; just looking for the toyota.
2026-09-12T12:40:47Z,Noah Abebe,,roof still leaking at Granite market but the load is dry. no new numbers.
2026-09-12T13:00:00Z,PFC Elena Berg,,Anchor-D3 this is Anchor-A4. sending 1 lb from Alpha mosque courtyard to Delta water point. count it on arrival. over
2026-09-12T13:00:47Z,PFC Elena Berg,,got 10 pounds off Cedar orchard here at Alpha mosque courtyard. logged. berg
2026-09-12T13:01:34Z,PVT Priya Hassan,,Anchor-G5 this is Anchor-W1. sending 60 lb from Willow bridge to Golf well. count it on arrival. over
2026-09-12T13:02:21Z,PFC Tom Singh,,got 4 pounds off Alpha mosque courtyard here at Juliet warehouse. logged. singh
2026-09-12T13:03:08Z,PFC Elena Berg,,Anchor-J3 this is Anchor-A4. sending 4 lb from Alpha mosque courtyard to Juliet warehouse. count it on arrival. over
2026-09-12T13:03:55Z,SGT Sam Alvarez,,got 60 pounds off Willow bridge here at Golf well. logged. alvarez
2026-09-12T13:04:42Z,PVT Priya Nguyen,,got 1 pounds off Alpha mosque courtyard here at Delta water point. logged. nguyen
2026-09-12T13:05:29Z,CPL Amelia Berg,,Anchor-A4 this is Anchor-C6. sending 10 lb from Cedar orchard to Alpha mosque courtyard. count it on arrival. over
2026-09-12T14:31:00Z,PVT Victor Ortiz,,correction that last runner was 20 kg not lb wait no 20 kg
2026-09-12T14:44:00Z,PVT Victor Ortiz,,also sent 20 lbs over to Cedar orchard; same runner loop. log it.
2026-09-12T16:00:00Z,PVT Victor Ortiz,,EOD Sandpit forward cache: in 60 lb; out 60 lb; on-hand 0 lb. Sandpit-Actual closing books.
2026-09-12T16:00:47Z,LT Tom Bennett,,EOD Zulu junction: in 20 lb; out 20 lb; on-hand 0 lb. Zulu-Actual closing books.
